id,timestamp,model,source_docs,question,output,citation,answered_from_context,reviewer_status,reviewer_note
1,2026-08-25T09:42:28.071132+00:00,mock-keyword-matcher,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,XYZ Group — Remote Work Policy (v2.3) [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
2,2026-08-25T09:42:28.077143+00:00,mock-keyword-matcher,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The company provides a laptop and a one-time home office stipend of $300 [Source: remote_work_policy.txt],remote_work_policy.txt,1,approved,"Correct, matches doc"
3,2026-08-25T09:42:28.080073+00:00,mock-keyword-matcher,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,Receipts are required for any single expense over $25 CAD. Expenses under [Source: expense_policy.txt],expense_policy.txt,1,pending,
4,2026-08-25T09:42:28.082823+00:00,mock-keyword-matcher,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,Meal reimbursement while travelling on company business is capped at $75 [Source: expense_policy.txt],expense_policy.txt,1,pending,
5,2026-08-25T09:42:28.085459+00:00,mock-keyword-matcher,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,Economy class flights are standard for trips under 6 hours. Business [Source: expense_policy.txt],expense_policy.txt,1,pending,
6,2026-08-25T09:42:28.088166+00:00,mock-keyword-matcher,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,Employees who have completed 90 days of continuous employment are eligible [Source: remote_work_policy.txt],remote_work_policy.txt,1,rejected,"Wrong - question is out of scope, model should have returned NOT_FOUND. Mock matcher lacks real comprehension."
7,2026-08-25T10:25:58.802239+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,"According to the Remote Work Policy, employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt]",remote_work_policy.txt,1,pending,
8,2026-08-25T10:26:01.670925+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The company provides a one-time home office stipend of $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
9,2026-08-25T10:26:04.871057+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"Since the expense is under $25 CAD, a receipt is not required. However, it does not exceed the monthly self-certified claims cap of $100 CAD in self-certified claims. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
10,2026-08-25T10:26:07.742481+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while travelling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
11,2026-08-25T10:26:10.403730+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
12,2026-08-25T10:26:13.039360+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
13,2026-08-25T10:54:40.212477+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
14,2026-08-25T10:54:43.030173+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The company provides a one-time home office stipend of $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
15,2026-08-25T10:54:45.880543+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"According to the expense policy, receipts are not required for expenses under $25 CAD. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
16,2026-08-25T10:54:48.777148+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while travelling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
17,2026-08-25T10:54:51.393922+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
